Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Fiction(Original Mix),Tibiza,,Techno,128,F maj,6:30,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Certain Trace(Original Mix),UMEK,,Techno,128,G min,6:32,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Varuna(Adana Twins Remix),Kaiserdisco,AdanaTwins,Techno,124,B min,7:10,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Atom(Original Mix),2pole,,Techno,128,G min,6:38,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Aldebaran(Original Mix),MarioOchoa,,Techno,124,B min,8:00,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Power Of Future(Original Mix),"ChristianSmith,HarryRomero",,Techno,126,F♯ maj,6:43,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Smoky(Original Mix),DenisA,,ProgressiveHouse,122,A maj,7:28,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Brute Sine(Original Mix),RobHes,,Minimal/DeepTech,127,B maj,6:55,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Radio Bubbles(Original Mix),OliverLieb,,Techno,125,G min,7:16,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Give Your Love(Original Mix),LAAT,,Techno,127,A min,7:07,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Role Model(Original Mix),RobHes,,Techno,126,A♯ maj,7:56,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Rain Drops(Original Mix),CrazySonic,,Techno,127,A♯ maj,6:27,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Hold Me Down(Original Mix),Loco&Jam,,Techno,128,F maj,6:26,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Gate(Original Mix),MladenTomic,,Techno,126,D maj,7:22,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Flashback(Original Mix),SinisaTamamovic,,Techno,124,C min,7:14,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Epica(Original Mix),"2pole,ColectivoTriangular",,Techno,129,C♯ min,9:00,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Dark Place(Original Mix),DiegoInfanzon,,Techno,127,C♯ min,8:01,TR304
