Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Marcus Santoro - Savitar,Savitar(Extended Mix),MarcusSantoro,,Trance,126,F maj,5:22,STM203
"Ruben De Ronde, Cari - When I Fall",When I Fall(Extended Mix),"RubenDeRonde,Cari",,Trance,128,A min,5:07,STM209
"Ruben De Ronde, Rodg - Little Drummer",Little Drummer(Extended Mix),"RubenDeRonde,Rodg",,Trance,128,F maj,5:38,STM208
"Sound Quelle, Michael Mashkov - Arffa + Zual",Arffa(Extended Mix),"SoundQuelle,MichaelMashkov",,Progressive,120,G min,6:57,STM207
"Sound Quelle, Michael Mashkov - Arffa + Zual",Zual(Extended Mix),"SoundQuelle,MichaelMashkov",,Progressive,120,G♭ min,5:15,STM207
Lumisade - Let You Go,Let You Go(Extended Mix),Lumisade,,Trance,125,E min,7:52,STM206
Lumisade - Let You Go,Let You Go(Lumisade Mix),Lumisade,,Trance,125,E min,4:57,STM206
"Rodg, Roovel - Fast Lane",Fast Lane(Extended Mix),"Rodg,Roovel",,Trance,128,D min,5:43,STM205
"LTN, Leolani - 24 Hours",24 Hours(Extended Mix),"LTN,Leolani",,Trance,128,D♭ min,5:54,STM204
"LTN, Leolani - 24 Hours",24 Hours(LTN Sunrise Extended Remix),"LTN,Leolani",LTN,Trance,122,D♭ min,5:22,STM204
"Ruben De Ronde, Rodg - Pull A Lewie",Pull A Lewie(Extended Mix),"RubenDeRonde,Rodg",,Trance,128,A♭ min,5:40,STM202
"Ruben De Ronde, Donata - Stand In My Way - Remixes",Stand In My Way(Sound Quelle & Max Meyer Extended Remix),"RubenDeRonde,Donata","SoundQuelle,MaxMeyer",Progressive,127,A min,4:53,STM201
"Ruben De Ronde, Donata - Stand In My Way - Remixes",Stand In My Way(Paul Hamilton Extended Remix),"RubenDeRonde,Donata",PaulHamilton,Progressive,123,A maj,7:23,STM201
"SNR, Eskai, Evin Skye - Beyond The Moon",Beyond The Moon feat. Evin Skye(Extended Mix),"SNR,Eskai,EvinSkye",,Trance,128,C maj,5:29,STM200
"Estiva, Ruben De Ronde, Rodg - Intergalactic",Intergalactic(Extended Mix),"Estiva,RubenDeRonde,Rodg",,Trance,126,E maj,5:37,STM199
"Ruben De Ronde, Donata - Stand In My Way",Stand In My Way(Original Mix),"RubenDeRonde,Donata",,Trance,123,A min,4:16,STM198
"Ruben De Ronde, Donata - Stand In My Way",Stand In My Way(FEEL Extended Remix),"RubenDeRonde,Donata",Feel,Trance,132,A min,4:58,STM198
"Ruben De Ronde, Donata - Stand In My Way",Stand In My Way(FEEL Dub Remix),"RubenDeRonde,Donata",Feel,Trance,132,A min,4:12,STM198
Lumisade - Orange Theme / Lumisade,Orange Theme(Extended Mix),Lumisade,,Trance,126,F min,6:27,STM197
Lumisade - Orange Theme / Lumisade,Lumisade(Extended Mix),Lumisade,,Trance,126,G min,7:32,STM197
"M11, Same K - Play On Fire",Play On Fire(Extended Mix),"M11,SameK",,Progressive,128,G maj,3:57,STM196
"Ruben De Ronde, Rodg - Alone",Alone(Extended Mix),"RubenDeRonde,Rodg",,Progressive,128,A♭ maj,6:35,STM195
"Rodg, Patrick Baker - Nothing To Prove - Assaf Remix",Nothing To Prove feat. Patrick Baker(Assaf Extended Remix),"Rodg,PatrickBaker",Assaf,Trance,128,C maj,5:35,STM194
Kago Pengchi - Hecate / Timemachine,Hecate(Extended Mix),KagoPengchi,,Trance,128,G min,5:56,STM162
Kago Pengchi - Hecate / Timemachine,Timemachine(Extended Mix),KagoPengchi,,Trance,128,G♭ min,6:01,STM162
"Craig Connelly, Dovestone - Hello",Hello(Extended Mix),"CraigConnelly,Dovestone",,Progressive,124,C maj,7:09,STM193
Kolonie - Falling Skies / Crystal Tears,Falling Skies(Extended Mix),Kolonie,,Progressive,127,G min,6:36,STM192
Kolonie - Falling Skies / Crystal Tears,Crystal Tears(Extended Mix),Kolonie,,Progressive,126,A♭ min,5:52,STM192
"Ruben De Ronde, Rodg, Patrick Baker - Forever Searching",Forever Searching(Extended Mix),"RubenDeRonde,Rodg,PatrickBaker",,Vocal,128,F min,5:18,STM191
Store N Forward - Karma,Karma(Extended Mix),StoreNForward,,Trance,130,G♭ maj,4:50,STM187
Estiva - Raket,Raket(Extended Mix),Estiva,,Trance,126,A min,7:31,STM188
Farius - Ellipse + Tempest EP,Ellipse(Extended Mix),Farius,,Trance,124,C maj,5:18,STM182
Farius - Ellipse + Tempest EP,Tempest(Extended Mix),Farius,,Trance,128,E min,6:34,STM182
"LTN, Aelyn - Just Be Free",Just Be Free(Extended Mix),"LTN,Aelyn",,Vocal,120,B♭ maj,4:56,STM184
Rodg - Miami,Miami(Extended Mix),Rodg,,Trance,128,C maj,6:00,STM189
"Sound Quelle, Max Meyer, Brandon Mignacca - Andromeda",Andromeda feat. Brandon Mignacca(Extended Mix),"SoundQuelle,MaxMeyer,BrandonMignacca",,Trance,128,G maj,5:49,STM190
Estiva - Oxy & Doorlopen,Oxy(Extended Mix),Estiva,,Trance,126,B min,7:52,STM180
Estiva - Oxy & Doorlopen,Doorlopen(Extended Mix),Estiva,,Trance,126,E min,8:51,STM180
Max Meyer - Monte Cara,Monte Cara(Extended Mix),MaxMeyer,,Trance,128,G min,5:16,STM186
"Ruben De Ronde, Rodg, Chloe - When You're Gone",When You're Gone(Extended Mix),"RubenDeRonde,Rodg,Chloe",,Vocal,128,G maj,5:50,STM181
"Maglev, Josh Bailey - Cirrus",Cirrus(Extended Mix),"Maglev,JoshBailey",,Trance,128,E♭ maj,5:46,STM179
"Joonas Hahmo, K-System - Manana",Manana(Extended Mix),"JoonasHahmo,K-System",,Trance,126,G♭ min,7:25,STM185
"Limerant, SouthLights - One, Two, Infinity","One, Two, Infinity(Extended Mix)","Limerant,SouthLights",,Trance,120,C min,4:36,STM178
Estiva - Little Planet,Little Planet(Extended Mix),Estiva,,Progressive,126,A♭ min,7:49,STM183
"SNR, Eskai - Swipe",Swipe(Extended Mix),"SNR,Eskai",,Trance,128,C maj,5:02,STM177
"Ben Gold, Ruben De Ronde, Rodg - BombSquadKittens - Official Electronic Family 2017 Anthem",BombSquadKittens(Extended Mix),"BenGold,RubenDeRonde,Rodg",,Uplifting,130,B♭ min,5:43,STM176
Irdi - After Dawn,After Dawn(Extended Mix),Irdi,,Trance,130,G♭ min,5:50,STM175
BUDD - Never Get Back,Never Get Back(Extended Mix),BUDD,,Trance,125,B min,6:16,STM174
Protoculture - Never Seen Love,Never Seen Love(Extended Mix),Protoculture,,Trance,125,B maj,6:29,STM173
CiDiAN - Alyve,Alyve(Extended Mix),CiDiAN,,Trance,122,F min,6:35,STM172
"Genix, Ruben De Ronde, Rodg - Midnight Blue",Midnight Blue(Extended Mix),"Genix,RubenDeRonde,Rodg",,Trance,128,F maj,6:02,STM170
Estiva - Unowa / Dada,Unowa(Extended Mix),Estiva,,Progressive,122,D maj,8:00,STM171
Estiva - Unowa / Dada,Dada(Extended Mix),Estiva,,Progressive,125,D maj,6:51,STM171
"Same K, Reyo - Around For A Year",Around For A Year(Extended Mix),"SameK,Reyo",,Trance,132,A♭ min,6:18,STM169
"PROFF, Ruben De Ronde, Deirdre McLaughlin - Fade Away With Me",Fade Away With Me feat. Deirdre McLaughlin(Extended Mix),"PROFF,RubenDeRonde,DeirdreMcLaughlin",,Trance,126,A maj,6:57,STM168
"Orjan Nilsen, Ruben De Ronde, Rodg - Booya",Booya(Extended Mix),"OrjanNilsen,RubenDeRonde,Rodg",,Progressive,128,G min,4:37,STM167
"Ruslan Radriges, Cari - Follow The Sun",Follow The Sun(Extended Mix),"RuslanRadriges,Cari",,Trance,126,G♭ min,4:26,STM160
"Joonas Hahmo, K-System - Yamana",Yamana(Extended Mix),"JoonasHahmo,K-System",,Trance,126,E♭ min,7:20,STM166
Estiva - Blossom,Blossom(Extended Mix),Estiva,,Progressive,95,C min,6:23,STM165
Ruben De Ronde - Save Me,Save Me(Extended Mix),RubenDeRonde,,Trance,128,A min,6:46,STM163
Thomas Mengel - Calatheas / Geranium,Calatheas(Extended Mix),ThomasMengel,,Trance,128,F maj,5:17,STM159
Thomas Mengel - Calatheas / Geranium,Geranium(Extended Mix),ThomasMengel,,Trance,128,E min,5:19,STM159
"Ruben De Ronde, Rodg, Louise Rademakers - Riptide",Riptide(Extended Mix),"RubenDeRonde,Rodg,LouiseRademakers",,Trance,128,G min,4:52,STM164
Max Meyer - 10 Miles To Mars,10 Miles To Mars(Extended Mix),MaxMeyer,,Trance,128,D maj,5:08,STM158
Sodality - HiMountain,HiMountain(Extended Mix),Sodality,,Trance,129,A min,6:12,STM157
Farius - Westwood,Westwood(Extended Mix),Farius,,Trance,126,G min,6:36,STM156
Nic Toms - Dream Big,Dream Big(Extended Mix),NicToms,,Trance,128,G maj,5:01,STM155
"Ruben De Ronde, Rodg - Whoop",Whoop(Extended Mix),"RubenDeRonde,Rodg",,Trance,128,A♭ min,5:33,STM154
Hal Stucker - Need You / Navigate,Need You(Extended Mix),HalStucker,,Trance,128,G maj,5:41,STM153
Hal Stucker - Need You / Navigate,Navigate(Extended Mix),HalStucker,,Trance,128,C maj,6:36,STM153
Muvy - Lera,Lera(Extended Mix),Muvy,,Trance,123,D min,4:48,STM141
Estiva - Barba / Tarmac,Barba(Extended Mix),Estiva,,Progressive,126,E♭ min,7:45,STM152
Estiva - Barba / Tarmac,Tarmac(Extended Mix),Estiva,,Techno,126,F min,7:32,STM152
"Ruben De Ronde, Rodg, Sir Notch - Larger Than Life",Larger Than Life(Extended Mix),"RubenDeRonde,Rodg,SirNotch",,Trance,128,B maj,5:07,STM151
Same K - Digital Air,Digital Air(Extended Mix),SameK,,Trance,125,F maj,4:56,STM142
Rodg - First & Last,First & Last(Extended Mix),Rodg,,Trance,128,D min,5:47,STM150
Thomas Mengel - Zephyr,Zephyr(Extended Mix),ThomasMengel,,Trance,128,E♭ min,5:35,STM149
"Ruben De Ronde, Sir Notch - Time Has Come",Time Has Come(Original Mix),"RubenDeRonde,SirNotch",,Trance,128,F maj,3:34,STM148
Kago Pengchi - Funk It / Yuki,Funk It(Extended Mix),KagoPengchi,,Trance,126,E min,5:08,STM140
Kago Pengchi - Funk It / Yuki,Yuki(Extended Mix),KagoPengchi,,Trance,128,E min,5:31,STM140
"Ruben De Ronde, Kimberly Hale - All In",All In(Extended Mix),"RubenDeRonde,KimberlyHale",,Trance,128,E min,6:35,STM147
Estiva - Star Walk,Star Walk(Extended Mix),Estiva,,Trance,126,D maj,6:10,STM146
"Ruben De Ronde, Victoria RAY - All About You",All About You(Original Mix),"RubenDeRonde,VictoriaRAY",,Trance,126,G min,5:55,STM145
"Ruben De Ronde, Donata - Open Wide",Open Wide(Original Mix),"RubenDeRonde,Donata",,Dance,123,D maj,3:34,STM143
"Ruben De Ronde, Donata - Open Wide",Open Wide(Eskai Extended Remix),"RubenDeRonde,Donata",Eskai,Trance,128,D maj,5:03,STM143
"Ruben De Ronde, Donata - Open Wide",Open Wide(Hal Stucker Extended Remix),"RubenDeRonde,Donata",HalStucker,Trance,128,D maj,7:12,STM143
Limerant - Cerise,Cerise(Extended Mix),Limerant,,ProgressiveHouse,128,F maj,6:08,STM139
"Max Meyer, Dis Play - Bluor / Zero Gravity",Bluor(Extended Mix),"MaxMeyer,DisPlay",,Trance,128,D min,6:03,STM138
"Max Meyer, Dis Play - Bluor / Zero Gravity",Zero Gravity(Extended Mix),"MaxMeyer,DisPlay",,Trance,128,C min,6:38,STM138
Matt Fax - The Time Traveller EP,Hyllning(Extended Mix),MattFax,,ProgressiveHouse,125,B♭ min,8:12,STM137
Matt Fax - The Time Traveller EP,Lift(Extended Mix),MattFax,,Trance,127,E min,7:33,STM137
Matt Fax - The Time Traveller EP,The Time Traveller(Extended Mix),MattFax,,Trance,126,F min,9:01,STM137
Solid Stone - Understatement,Understatement(Extended Mix),SolidStone,,Trance,125,E♭ maj,6:55,STM136
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Sun Goes Down(Extended Mix),Estiva,,Trance,126,G♭ min,7:33,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Moment Of Truth feat. Kimberly Hale(Ruben de Ronde Mix),"RubenDeRonde,LTN,KimberlyHale",RubenDeRonde,Trance,125,B min,6:43,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Tryst(Extended Mix),Fatum,,Trance,128,E♭ min,6:07,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Warmrider(Extended Mix),MattFax,,Trance,126,E♭ min,8:40,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Moda(Extended Mix),HalStucker,,Trance,128,G♭ min,7:07,ARVA857
