Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Max Freegrant, Slow Fish - The Dark Side",The Dark Side(Extended Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,122,E♭ maj,6:30,FG303
"Max Freegrant, Slow Fish - The Dark Side",The Dark Side(Original Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,122,E♭ maj,3:18,FG303
"Sensi, Gotlucky, Nishant - Rebirth / Goldfoil",Rebirth(Original Mix),"Sensi,Gotlucky",,MelodicHouse&Techno,126,B min,6:39,FG302
"Sensi, Gotlucky, Nishant - Rebirth / Goldfoil",Goldfoil(Original Mix),Nishant,,ProgressiveHouse,119,D♭ maj,8:04,FG302
"Sun In Arms, Scolario - Destination & Possession",Destination(Original Mix),"SunInArms,Scolario",,Trance,128,B♭ maj,5:31,FG301
"Sun In Arms, Scolario - Destination & Possession",Possession(Original Mix),"SunInArms,Scolario",,Trance,128,F min,5:38,FG301
"Max Freegrant, Slow Fish - Crypto Lesson",Crypto Lesson(Extended Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,124,C min,6:21,FG300
"Max Freegrant, Slow Fish - Crypto Lesson",Crypto Lesson(Slow Fish Extended Tech Edit),"MaxFreegrant,SlowFish",SlowFish,TechHouse,124,C min,6:23,FG300
"Max Freegrant, Slow Fish - Crypto Lesson",Crypto Lesson(Dub Mix),"MaxFreegrant,SlowFish",,ProgressiveHouse,124,C min,6:23,FG300
"Miss Monique, Thea Riley - Means To An End",Means To An End(Extended Mix),"MissMonique,TheaRiley",,Trance,127,C min,5:28,FG299
"Miss Monique, Thea Riley - Means To An End",Means To An End(Quizzow Extended Remix),"MissMonique,TheaRiley",Quizzow,Trance,127,C min,6:10,FG299
"Miss Monique, Thea Riley - Means To An End",Means To An End(Dub Mix),"MissMonique,TheaRiley",,Trance,127,C min,5:28,FG299
"Miss Monique, Thea Riley - Means To An End",Means To An End(Quizzow Dub Remix),"MissMonique,TheaRiley",Quizzow,Trance,127,C min,6:10,FG299
"Larsson (BE), Kojun, High Frequencies - Give Me Your Love / Metu / Ashes",Give Me Your Love(Original Mix),Larsson(BE),,Trance,128,G♭ min,6:11,FG298
"Larsson (BE), Kojun, High Frequencies - Give Me Your Love / Metu / Ashes",Metu(Original Mix),Kojun,,Trance,128,E♭ min,5:18,FG298
"Larsson (BE), Kojun, High Frequencies - Give Me Your Love / Metu / Ashes",Ashes(Original Mix),HighFrequencies,,Trance,128,G♭ maj,6:37,FG298
"Max Freegrant, Francesco Sambero, Madeleine Wood - Phenomenon",Phenomenon(Original Mix),"MaxFreegrant,FrancescoSambero,MadeleineWood",,ProgressiveHouse,123,G♭ min,5:54,FG297
"Max Freegrant, Francesco Sambero, Madeleine Wood - Phenomenon",Phenomenon(Tencode Remix),"MaxFreegrant,FrancescoSambero,MadeleineWood",Tencode,ProgressiveHouse,122,G♭ min,6:26,FG297
"Max Freegrant, Francesco Sambero, Madeleine Wood - Phenomenon",Phenomenon(Sambero's Summer Deep Edit),"MaxFreegrant,FrancescoSambero,MadeleineWood",,DeepHouse,123,G♭ min,8:12,FG297
Stan Kolev - Oblivion [The Remixes],Oblivion(Donny Carr Remix),StanKolev,DonnyCarr,MelodicHouse&Techno,123,B♭ maj,8:04,FG296
Stan Kolev - Oblivion [The Remixes],Oblivion(Dimuth K Remix),StanKolev,DimuthK,ProgressiveHouse,123,C maj,8:29,FG296
Progman - Sunrise / She / With You,Sunrise(Original Mix),Progman,,Trance,128,F min,5:25,FG295
Progman - Sunrise / She / With You,She(Original Mix),Progman,,Trance,128,G min,5:03,FG295
Progman - Sunrise / She / With You,With You(Original Mix),Progman,,Trance,128,F maj,5:32,FG295
Andre Sobota - Ground Level / Alternate,Ground Level(Original Mix),AndreSobota,,ProgressiveHouse,124,E min,6:10,FG294
Andre Sobota - Ground Level / Alternate,Alternate(Original Mix),AndreSobota,,MelodicHouse&Techno,124,E♭ min,6:30,FG294
"Madeleine Wood, Aurean - Hybrid Minds",Hybrid Minds(Original Mix),"MadeleineWood,Aurean",,Trance,128,E♭ min,6:16,FG293
"Madeleine Wood, Aurean - Hybrid Minds",Hybrid Minds(Max Freegrant & Slow Fish Remix),"MadeleineWood,Aurean","MaxFreegrant,SlowFish",ProgressiveHouse,123,E♭ min,6:19,FG293
"Madeleine Wood, Aurean - Hybrid Minds",Hybrid Minds(Rez Ekbatan Remix),"MadeleineWood,Aurean",RezEKbatan,TechHouse,120,B maj,6:12,FG293
"Pavel Khvaleev, Going Deeper - Voyager",Voyager(H3 Remix),"PavelKhvaleev,GoingDeeper",H3,Trance,122,D maj,6:25,FG292
"Pavel Khvaleev, Going Deeper - Voyager",Voyager(Aurean Remix),"PavelKhvaleev,GoingDeeper",Aurean,Trance,124,A min,5:21,FG292
"Pavel Khvaleev, Going Deeper - Voyager",Voyager(K&SD Remix),"PavelKhvaleev,GoingDeeper",K&SD,ProgressiveHouse,122,D maj,6:25,FG292
"Pavel Khvaleev, Going Deeper - Voyager",Voyager(Original Mix),"PavelKhvaleev,GoingDeeper",,ProgressiveHouse,122,A min,4:24,FG292
Max Freegrant - I Just Wanna Dream,I Just Wanna Dream(Extended Mix),MaxFreegrant,,Trance,126,E min,5:58,FG291
Max Freegrant - I Just Wanna Dream,I Just Wanna Dream(Original Mix),MaxFreegrant,,Trance,126,E min,3:11,FG291
Stan Kolev - Oblivion,Oblivion(Extended Mix),StanKolev,,ProgressiveHouse,123,C min,7:21,FG290
Stan Kolev - Oblivion,Oblivion(Original Mix),StanKolev,,ProgressiveHouse,123,C min,3:40,FG290
Tim Iron - Prediction EP,Prediction(Original Mix),TimIron,,Trance,130,G min,6:31,FG289
Tim Iron - Prediction EP,Nebula(Original Mix),TimIron,,Trance,130,F min,6:31,FG289
Tim Iron - Prediction EP,Fantasia(Original Mix),TimIron,,Trance,130,C min,6:31,FG289
"AxelPolo, Tatana - Mirage",Mirage(Original Mix),"AxelPolo,Tatana",,ProgressiveHouse,120,C min,6:28,FG288
"AxelPolo, Tatana - Mirage",Mirage(Max Freegrant & Slow Fish Remix),"AxelPolo,Tatana","MaxFreegrant,SlowFish",ProgressiveHouse,123,C min,6:36,FG288
Orphyd - Electric Sheep / Replicant,Electric Sheep(Original Mix),Orphyd,,ProgressiveHouse,74,G♭ min,7:52,FG287
Orphyd - Electric Sheep / Replicant,Replicant(Original Mix),Orphyd,,ProgressiveHouse,122,B♭ min,5:43,FG287
Max Freegrant - Drama King (Incl. Stan Kolev Remix),Drama King(Extended Mix),MaxFreegrant,,Trance,125,D min,6:49,FG286
Max Freegrant - Drama King (Incl. Stan Kolev Remix),Drama King(Stan Kolev Extended Remix),MaxFreegrant,StanKolev,ProgressiveHouse,124,D min,6:50,FG286
Max Freegrant - Drama King (Incl. Stan Kolev Remix),Drama King(Original Mix),MaxFreegrant,,Trance,125,D min,4:14,FG286
Max Freegrant - Drama King (Incl. Stan Kolev Remix),Drama King(Stan Kolev Remix),MaxFreegrant,StanKolev,ProgressiveHouse,124,D min,3:23,FG286
"AxelPolo, Ryan Raya - Cobra (The Remixes)",Cobra(Aressa Remix),"AxelPolo,RyanRaya",Aressa,Trance,128,A maj,5:31,FG285
"AxelPolo, Ryan Raya - Cobra (The Remixes)",Cobra(Night Shift Master Remix),"AxelPolo,RyanRaya",NightShiftMaster,Trance,125,A min,7:35,FG285
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",FG VII(Continuous DJ Mix),"MaxFreegrant,MissMonique",,Trance,128,E min,50:32,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Tarantism(Original Mix),Sine&Square,,ProgressiveHouse,123,E♭ maj,10:17,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Stratos(Jagin Remix),Dezza,Jagin,ProgressiveHouse,124,G♭ min,6:17,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Cobra(Original Mix),"AxelPolo,RyanRaya",,Trance,128,A maj,5:39,FGC036
